pred,actual,similarity
陸王𠄩户都差𠬠欺,陸王𠄩户都芸𠬠欺,0.7777777777777778
舘浪𠫾塊知村𧡊𠳒,舘浪𠫾塊鄕村𧡊𠳒,0.7777777777777778
別牢﨤世云仙盟尼,別牢﨤特云仙𣇜尼,0.6
牢空結伴麻𠫾𠓨場,牢空結伴麻𠫾𠓨塲,0.7777777777777778
埃咍昆𬙞連𠁀共吒,埃咍昆𤯩𨕭𠁀共吒,0.6
𦖑雲仙𬙞﨤朝公名,𦖑雲仙𤯩﨤朝公名,0.7777777777777778
矯公差几迻回𧵑朱,矯公差几迻回𧵑朱,1.0
朱𢧚父子𠄩塘󰘌饒,朱𢧚父子𠄩塘隔饒,0.7777777777777778
云仙䜹訴每塘𧵆賖,云仙䜹訴每塘𧵆賖,1.0
𭛣之麻細𡧲固花些,𭛣之麻細𡧲園花些,0.7777777777777778
拠蹺冲礼文公麻爫,拠蹺冲礼文公麻爫,1.0
排󰝺𠬠斫戈情朱衝,排󰝺𠬠斫弋情朱衝,0.7777777777777778
𤴬之𢧚浽渃尼呵傷,𤴬之𢧚浽渃尼呵傷,1.0
状元䀡𧡊𠲶唭𠬠欺,状元䀡𧡊𠲶唭𠬠欺,1.0
扑浪拱扵准尼𬙞残,扑浪拱扵准尼𨀈戈,0.6
自低買歇細𨆢准芇,自低買歇細𨆢准芇,1.0
冲𢚸它𢢆拱爲󰦓壻,冲𢚸它𢢆拱爲虎台,0.6
𠬠𢈱嗔汝𠦳鐄庒差,𠬠𢈱嗔汝𠦳鐄󰝸差,0.7777777777777778
𠬠𠇮芒皮麻𠫾𭛣之,𠬠𠇮芒笈麻𠫾役之,0.6
󰝡朱󱋓茦𬑉連𤎜𦋦,󰝡朱󱋓茦𬑉連𤎜𦋦,1.0
少之昆𡛔麻迻細娘,少之昆𡛔麻迻細娘,1.0
如尼󰑼𬑉矯公󰑼連,細尼𦋦𬑉矯公哭連,0.5
差軍户𧗱逴娘月娥,差軍户𧗱逴娘月娥,1.0
調排𠸜户𠬠欺買詳,調排𠸜户𠬠欺買詳,1.0
𣋚埋𧡊󰘚朱虧𬌓𢚸,𣋚埋𧡊󰘚朱虧𬌓𢚸,1.0
倍鐄跪𥛉嗔𨆢𦋦𧗱,倍鐄跪𥛉嗔𨆢𦋦𧗱,1.0
𠬠𠇮病重苓行牢衝,𠬠𠇮病重步行牢衝,0.7777777777777778
火魔䀡𧡊𠬠除調散,火魔䀡𧡊𠬠除調散,1.0
覩芇麻敢乱凌𠓨低,繩芇麻敢礼凌𠓨低,0.6
妾吀爫𠬠排书母群,妾嗔爫𠬠排书謝辞,0.45454545454545453
𤴬之細浽筭皮渚寅,𤴬之細浽筭皮渚專,0.7777777777777778
沁船𢧚浽𨉓𦋦󰡫尼,沉船𢧚浽𨉓𦋦󰡫尼,0.7777777777777778
調𠓨𠬠舘盃唭𢀨迎,調𠓨𠬠舘盃唭語迎,0.7777777777777778
月娥娘意罪欺㐌行,月娥娘意罪欺㐌仃,0.7777777777777778
空披挭𡧲塘芇咍,欺空𢭮挭𡧲塘芇咍,0.6666666666666666
柴盘𠬠𭛣科期群賖,柴盘𠬠𭛣科期群賖,1.0
塘賖𠦳淡嗔迻𠬠𢈱,塘賖𠦳淡嗔迻𠬠𢈱,1.0
朱柴達卦𠬠欺買詳,朱柴達卦𠬠欺買詳,1.0
昆它𢧚𡦂朱蓬󰠃庒,昆它𢧚𡦂䘮蓬󰠃庒,0.7777777777777778
徒𦋦准𫇰尋柴云仙,徒𦋦准𫇰尋柴云仙,1.0
丿󰦓㐌細𧵆沔哭江,丿󰦓㐌細𧵆沔秦江,0.7777777777777778
㐌通天胣吏咍役𠁀,㐌通天地吏咍𭛣𠁀,0.6
哙埃嘆哭扵冲車尼,哙埃嘆哭扵冲車尼,1.0
金蓮󰡫𥙩爫娘月娥,金蓮󰡫𥙩爫娘月娥,1.0
六公𠳐令細尼昔前,六公𠳐令細尼营前,0.7777777777777778
枚𠊛朱塊劳刀貝尼,枚𠊛朱塊劳刀貝尼,1.0
𣷮鐄固別役尼朱些,𣷮鐄固別役尼朱些,1.0
𠇮𠫾㐌痗𣳔珠添油,𠇮𠫾㐌痗𣳔珠添油,1.0
低它併特𠬠塘叱咍,低它併特𠬠塘叱咍,1.0
嗔吝細畧尋柴茦湯,嗔吝細畧尋柴茦湯,1.0
庒󰀉君子圭鄕尼芇,󰝸咍君子圭鄕尼芇,0.6
󰒺芒幅像𠬠除𦋦𠫾,󰒺芒幅像𠬠除𦋦𠫾,1.0
冲𨉓林䋦㐌卢吏愁,冲𨉓𤾓䋦㐌卢吏愁,0.7777777777777778
蜂戈𢖵吏別包饒吝,蜂戈𧊉吏別包饒吝,0.7777777777777778
月娥昆呵󰝡迻𠊚𥆾,月娥昆呵󰝡迻𠊚𥆾,1.0
情林庒論朱隊字𢧚,情麻庒論朱陳字𢧚,0.6
妾願𠬠𬌓𢚸𣦍買払,妾願𠬠𬌓𢚸𣦍買払,1.0
𠿯匕吏𥄭𠓨尼圣堂,𠿯匕吏𥄭𠓨尼圣堂,1.0
庒咍冲胣併細𣛟之,庒咍冲胣徘徊𡀯之,0.45454545454545453
漢明𣈙特預拱雲仙,漢明𣈙特預掑雲仙,0.7777777777777778
𦊚𠊛𡎢吏𠬠𣳔爫詩,𦊚𠊛𡎢吏𠬠𣳔爫詩,1.0
漢明蹺哙事情𠬠欺,漢明蹺哙事情𠬠欺,1.0
𤜯冲茄渃㐌仃朱𤽗,役冲茄渃㐌仃朱𤽗,0.7777777777777778
防𡢐朱塊不卒𢚸饒,防𡢐朱塊不平𢚸饒,0.7777777777777778
自低朱細圭茄群𥹰,自低朱細圭茄群𥹰,1.0
冲茄朱細培廊調傷,冲茄朱細𡌽廊調傷,0.7777777777777778
武公茄扵𧵆塘低庒,武公茄扵𧵆塘低庒,1.0
直󰠃歆儉合麻迻仙,直󰠃歆儉合麻迻仙,1.0
󰡫冲經史固金󰠃庒,󰡫冲經史固全󰠃庒,0.7777777777777778
朱官𦋦逴𠓨拱边凱,朱官𦋦逴𠓨掑边凱,0.7777777777777778
小童𡥵於󰦓麻細低,小童𡥵於󰦓麻細低,1.0
本碎買曳𠬠吝嗔容,本碎買曳𠬠吝嗔容,1.0
雲仙𡎢畧茄茦咀嘆,雲仙𡎢畧茄求咀嘆,0.7777777777777778
󰘚𥆾𧡊伴吃嘲浪英,󰘚𥆾𧡊伴𠲶嘲浪英,0.7777777777777778
𠬠彙巾󰺔油匕呵傷,𠬠彙巾泊油匕呵傷,0.7777777777777778
云仙包𦬑𢚸芇配波,云仙包𦬑𢚸芇配波,1.0
逴娘迻細𣦎戈東城,逴娘迻細𣦎戈東城,1.0
闭书𠬠幅呌󰠃云仙,曰书𠬠幅吲󰠃云仙,0.6
𠲖欺塘詫理芇別󰦓,𠲖欺塘詫理芇別󰦓,1.0
嗔迻𠬠物底扲爫信,嗔迻𠬠物底扲爫信,1.0
共饒𢴿𢩮調連阻𦋦,共饒𢴿𢩮調連阻𦋦,1.0
吀迻細妬畧𡢐朱𧷺,吀迻細妬畧𡢐朱𧷺,1.0
舘浪唭几不才𠁀霜,舘浪唭几不才𠁀𠸗,0.7777777777777778
𡆫共昆老𠬠茄朱盃,𡆫共昆老𠬠茄朱盃,1.0
𠬠文𠄩册麻世交車,𠬠交𠄩册麻𠀧爻重,0.45454545454545453
𧡊𠄩翁役哙𦋦迍塘,𧡊𠄩翁𤜯𧼋𦋦迍塘,0.6
󰠃𤽗骨突打朱最㝵,󰠃𤽗骨突打朱最㝵,1.0
𤾓𠄼朱𣘃𢚸崙󰠃払,𤾓𠄼朱援𢚸崙󰠃払,0.7777777777777778
耒浪碎庒𢭂郎朱柴,耒辰碎仕𢭂郎朱柴,0.6
咍󰑼㐌莫𥙩恬之低,咍󰑼㐌莫𥙩恬之低,1.0
媄昆些吏杜𡗶武公,媄昆些吏杜承武公,0.7777777777777778
庒台作伴科尼󰡫芇,庒台眾伴科尼󰡫芇,0.7777777777777778
